9 Νῦν ἡ σὴ φανήσεται σεμνηγορία.	9 Nŷn hē sḕ phaněsetae semnēgoría.			9 Now your solemn oratory will appear.
	Νῦν	Nŷn	νῦν	now
	ἡ	hē	ὁ	the
	σὴ	sḕ	σός	your
	φανήσεται	phaněsetae	φαίνομαι	will appear
	σεμνηγορία	semnēgoría	σεμνογορία	solemn oratory
10 “Ὁδηγέ μου ποιητά,” λέγειν ἠρξάμην,	10 “Hodēgé mū poeētá,” légein ērxámēn,			10 "Guide my poet," I began to say,
	Ὁδηγέ	Hodēgé	ὁδηγός	guide
	μου	mū	ἐγώ	my
	ποιητά	poeētá	ποιητής	poet
	λέγειν	légein	λέγω	to say
	ἠρξάμην	ērxámēn	ἄρχω	I began
11 “Ἴδε μου τὴν ἀξίαν εἴποτ' ἀντέχει,	11 “Íde mū tḕn axían eípot' antéchei,			11 "Look at my worthy tell at once,
	Ἴδε	Íde	ἰδού	look at
	μου	mū	ἐγώ	my
	τὴν	tḕn	ὁ	the
	ἀξίαν	axían	ἄξιος	worthy
	εἴποτ'	eípot'	εἰπώτι	at once
	ἀντέχει	antéchei	ἀντέχω	tell
12 „ Πρὶν εἰς τὴν δεινὴν προχωρήσω πορείαν.	12 „ Prìn eis tḕn deinḕn prochōrěsō poreían.			12 Before I advance into the terrible journey.
	Πρὶν	Prìn	πρίν	before
	εἰς	eis	εἰς	into
	τὴν	tḕn	ὁ	the
	δεινὴν	deinḕn	δεινός	terrible
	προχωρήσω	prochōrěsō	προχωρέω	I advance
	πορείαν	poreían	πορεία	journey
13 „ Σὺ λέγεις ἐλθεῖν τὸν τοῦ Σιλβίου πάππον,	13 „ Sỳ légeis elthéìn tòn tû Silbíū páppon,			13 You say to come the grandfather of Silvius,
	Σὺ	Sỳ	σύ	You
	λέγεις	légeis	λέγω	say
	ἐλθεῖν	elthéìn	ἔρχομαι	to come
	τὸν	tòn	ὁ	the
	τοῦ	tû	ὁ	
	Σιλβίου	Silbíū	Σίλβιος	Silvius'
	πάππον	páppon	πάππος	grandfather
14 „ Ἔτ' ὄντα θνητόν, εἰς τὴν τῶν ἀθανάτων	14 „ Ét' ónta thnētón, eis tḕn tôn athanátōn			14 Still being mortal, into the land of the immortals,
	Ἔτ'	Ét'	ἔτι	still
	ὄντα	ónta	εἰμί	being
	θνητόν	thnētón	θνητός	mortal
	εἰς	eis	εἰς	into
	τὴν	tḕn	ὁ	the
	τῶν	tôn	ὁ	
	ἀθανάτων	athanátōn	ἀθάνατος	immortals'
15 „ Χώραν ἔχοντα ζῶντος ἀνδρὸς αἰσθήσεις.	15 „ Chǒran échonta zôntos andròs aesthěseis.			15 Having the perceptions of a living man.
	Χώραν	Chǒran	χώρα	land
	ἔχοντα	échonta	ἔχω	having
	ζῶντος	zôntos	ζάω	living
	ἀνδρὸς	andròs	ἀνήρ	man
	αἰσθήσεις	aesthěseis	αἴσθησις	perceptions
16 „ Ἀλλ' εἴπερ ὁ κακίας ἐχθρὸς ἁπάσης	16 „ All' eíper ho cacías echthròs hapásēs			16 But if indeed the enemy of all evil
	Ἀλλ'	All'	ἀλλά	But
	εἴπερ	eíper	εἴπερ	if indeed
	ὁ	ho	ὁ	the
	κακίας	cacías	κακία	of evil
	ἐχθρὸς	echthròs	ἐχθρός	enemy
	ἁπάσης	hapásēs	ἅπας	of all
17 „ Εὔνους ἦν αὐτῷ, φρονῶν καλὰ μεγάλα	17 „ Eúnūs ên autộ, phronôn calà megála			17 was to him goodwill, thinking noble and great,
	Εὔνους	Eúnūs	Εὔνους	goodwill
	ἦν	ên	εἰμί	was
	αὐτῷ	autộ	αὐτός	to him
	φρονῶν	phronôn	φρονέω	thinking
	καλὰ	calà	καλός	noble
	μεγάλα	megála	μέγας	great
18 „ Ἐκβησόμεν' ἐξ αὐτοῦ, ποίου καὶ ποῖα,	18 „ Ecbēsómen' ex autû, poéū caè póèa,			18 departing from him, what kind and what kind
	Ἐκβησόμεν'	Ecbēsómen'	ἐκβαίνω	departing
	ἐξ	ex	ἐκ	from
	αὐτοῦ	autû	αὐτός	him
	ποίου	poéū	ποῖος	what kind
	καὶ	caè	καί	and
	ποῖα	póèa	ποῖος	what kind
19 „ Οὐ δοκεῖ τοῦτ' ἀπρεπὲς ἀνδρὶ φρονίμῳ.	19 „ Ū docéì tût' aprepès andrì phronímọ̄.			19 It does not seem unbecoming to a wise man this,
	Οὐ	Ū	οὐ	not
	δοκεῖ	docéì	δοκέω	it seems
	τοῦτ'	tût'	οὗτος	this
	ἀπρεπὲς	aprepès	ἀπρεπής	unbecoming
	ἀνδρὶ	andrì	ἀνήρ	to a man
	φρονίμῳ	phronímọ̄	φρόνιμος	wise
20 „ Αὐτὸς γὰρ Ῥώμης τῆς σεμνῆς καὶ τοῦ Κράτους	20 „ Autòs gàr Rhǒmēs tês semnês caè tû Crátūs			20 For he himself father of revered Rome and Power
	Αὐτὸς	Autòs	αὐτός	he himself
	γὰρ	gàr	γάρ	for
	Ῥώμης	Rhǒmēs	Ῥώμη	Rome
	τῆς	tês	ὁ	of the
	σεμνῆς	semnês	σεμνός	revered
	καὶ	caè	καί	and
	τοῦ	tû	ὁ	of the
	Κράτους	Crátūs	Κράτος	Power
21 „ ᾙρέθη πατὴρ ἐν Οὐρανῶν αἰθέρι·	21 „ Hẹ̄réthē patḕr en Ūranôn aethéri;			21 was chosen in heavens' sky.
	ᾙρέθη	Hẹ̄réthē	αἱρέω	was chosen
	πατὴρ	patḕr	πατήρ	father
	ἐν	en	ἐν	in
	Οὐρανῶν	Ūranôn	Οὐρανός	heavens'
	αἰθέρι	aethéri	αἰθήρ	sky
22 „ Ῥώμη δὲ καὶ τὸ Κράτος, ἵν' ὀρθῶς εἴπω,	22 „ Rhǒmē dè caè tò Crátos, hín' orthôs eípō,			22 Rome and Power, so that I may say rightly,
	Ῥώμη	Rhǒmē	Ῥώμη	Rome
	δὲ	dè	δέ	
	καὶ	caè	καί	and
	τὸ	tò	ὁ	the
	Κράτος	Crátos	Κράτος	Power
	ἵν'	hín'	ἵνα	so that
	ὀρθῶς	orthôs	ὀρθῶς	rightly
	εἴπω	eípō	λέγω	I may say
23 „ Προωρίσθησαν ὡς ἱερός τις τόπος,	23 „ Proōrísthēsan hōs hierós tis tópos,			23 were ordained as a certain sacred place,
	Προωρίσθησαν	Proōrísthēsan	προορίζω	were ordained
	ὡς	hōs	ὡς	as
	ἱερός	hierós	ἱερός	sacred
	τις	tis	τις	a certain
	τόπος	tópos	τόπος	place
24 „ Ενθ' ὁ τοῦ Πέτρου διάδοχος ἐδρεύει.	24 „ Enth' ho tû Pétrū diádochos edreúei.			24 where the successor of Peter resides.
	Ενθ'	Enth'	ἐνθάδε	where
	ὁ	ho	ὁ	the
	τοῦ	tû	ὁ	
	Πέτρου	Pétrū	Πέτρος	Peter's
	διάδοχος	diádochos	διάδοχος	successor
	ἐδρεύει	edreúei	διατρίβω	resides
25 „ Ἐκ τῆς πορείας, ἣν ἐξύμνησας, ταύτης	25 „ Ec tês poreías, hḕn exýmnēsas, taútēs			25 From the journey, which you praised, this
	Ἐκ	Ec	ἐκ	From
	τῆς	tês	ὁ	of the
	πορείας	poreías	πορεία	journey
	ἣν	hḕn	ὅς	which
	ἐξύμνησας	exýmnēsas	ὑμνέω	you praised
	ταύτης	taútēs	οὗτος	this
26 „ Προκατέμαθεν ὅσ' ὑπῆρξεν αἰτία	26 „ Procatémathen hós' hypêrxen aetía			26 was displayed, whatever was the cause
	Προκατέμαθεν	Procatémathen	προκατατίθημι	was displayed
	ὅσ'	hós'	ὅστις	whatever
	ὑπῆρξεν	hypêrxen	ὑπάρχω	existed
	αἰτία	aetía	αἰτία	cause
27 „ Τῆς νίκης αὑτοῦ καὶ τῆς Παπικῆς χλαίνης.	27 „ Tês nícēs hautû caè tês Papicês chlaénēs.			27 of his own victory and the Papal pallium.
	Τῆς	Tês	ὁ	of the
	νίκης	nícēs	νίκη	victory
	αὑτοῦ	hautû	αὐτός	his own
	καὶ	caè	καί	and
	τῆς	tês	ὁ	the
	Παπικῆς	Papicês	Παπικός	Papal's
	χλαίνης	chlaénēs	χλαίνη	pallium
28 „ Ἦλθεν εἶτ' ἐκεῖ τῆς Ἐκλογῆς τὸ σκεῦος,	28 „ Êlthen éìt' ecéì tês Eclogês tò scéùos,			28 He came then from the election, the vessel,
	Ἦλθεν	Êlthen	ἔρχομαι	He came
	εἶτ'	éìt'	εἶτα	then
	ἐκεῖ	ecéì	ἐκεῖ	there
	τῆς	tês	ὁ	from the
	Ἐκλογῆς	Eclogês	Ἐκλογή	election
	τὸ	tò	ὁ	the
	σκεῦος	scéùos	σκεῦος	vessel
29 „ Ὅπως ἐνδυναμώσῃ τὴν πίστιν κείνην,	29 „ Hópōs endynamǒsẹ̄ tḕn pístin ceínēn,			29 so that he may strengthen that faith,
	Ὅπως	Hópōs	ὅπως	so that
	ἐνδυναμώσῃ	endynamǒsẹ̄	ἐνδυναμόω	may strengthen
	τὴν	tḕn	ὁ	the
	πίστιν	pístin	πίστις	faith
	κείνην	ceínēn	κεῖνος	that one
30 „ Ἥτις ἔστ' ἀρχὴ τῆς σωτηρίου τρίβου.	30 „ Hětis ést' archḕ tês sōtēríū tríbū.			30 which is the beginning of the path to salvation.
	Ἥτις	Hětis	ὅστις	which
	ἔστ'	ést'	εἰμί	is
	ἀρχὴ	archḕ	ἀρχή	beginning
	τῆς	tês	ὁ	of the
	σωτηρίου	sōtēríū	σωτήριος	salvation
	τρίβου	tríbū	τρίβος	path
31 „ Ἀλλ' ἐγὼ πῶς ὑπάγω; τίς τ' ἐπιτρέπει;	31 „ All' egṑ pôs hypágō? tís t' epitrépei?			31 But how do I go? Who allows?
	Ἀλλ'	All'	ἀλλά	But
	ἐγὼ	egṑ	ἐγώ	I
	πῶς	pôs	πῶς	how
	ὑπάγω	hypágō	ὑπάγω	I go
	τίς	tís	τίς	who
	τ'	t'	τε	and
	ἐπιτρέπει	epitrépei	ἐπιτρέπω	allows
32 „ Οὔκ εἰμι γὰρ Αἰνείας, οὐδέ γε Παῦλος·	32 „ Ǔc eimi gàr Aeneías, ūdé ge Páùlos;			32 For I am neither Aeneas nor Paul;
	Οὔκ	Ǔc	οὐκ	not
	εἰμι	eimi	εἰμί	I am
	γὰρ	gàr	γάρ	indeed
	Αἰνείας	Aeneías	Αἰνείας	Aeneas
	οὐδέ	ūdé	οὐδέ	neither
	γε	ge	γε	nor
	Παῦλος	Páùlos	Παῦλος	Paul
33 „ Οὔτ' ἄλλος ἔμ' ἄξιον, οὔτ' ἐγὼ κρίνω.	33 „ Ǔt' állos ém' áxion, ǔt' egṑ crínō.			33 Neither another deems me worthy, nor do I judge.
	Οὔτ'	Ǔt'	οὔτε	neither
	ἄλλος	állos	ἄλλος	another
	ἔμ'	ém'	ἐγώ	me
	ἄξιον	áxion	ἄξιος	worthy
	οὔτ'	ǔt'	οὔτε	neither
	ἐγὼ	egṑ	ἐγώ	I
	κρίνω	crínō	κρίνω	nor do I judge
34 „ Ἐὰν οὖν ἐλθεῖν ἐγὼ συγκατανεύσω,	34 „ Eàn ûn elthéìn egṑ syncataneúsō,			34 If, therefore, I nod in agreement to come,
	Ἐὰν	Eàn	ἐάν	If
	οὖν	ûn	οὖν	therefore
	ἐλθεῖν	elthéìn	ἔρχομαι	to come
	ἐγὼ	egṑ	ἐγώ	I
	συγκατανεύσω	syncataneúsō	συγκατανεύω	nod in agreement
35 „ Φοβοῦμαι μήπως μωρὸν ἔργον τολμήσω.	35 „ Phobûmae měpōs mōròn érgon tolměsō.			35 I fear lest I dare a foolish deed.
	Φοβοῦμαι	Phobûmae	φοβέω	I fear
	μήπως	měpōs	μήπως	lest
	μωρὸν	mōròn	μωρός	foolish
	ἔργον	érgon	ἔργον	deed
	τολμήσω	tolměsō	τολμάω	I dare
36 „ Σοφὸς εἶ καὶ διορᾷς, εἰ καλῶς λέγω.”	36 „ Sophòs éì caè diorậs, ei calôs légō.”			36 You are wise and observe, if I speak well.
	Σοφὸς	Sophòs	σοφός	wise
	εἶ	éì	εἰμί	you are
	καὶ	caè	καί	and
	διορᾷς	diorậs	διοράω	you observe
	εἰ	ei	εἰ	if
	καλῶς	calôs	καλῶς	well
	λέγω	légō	λέγω	I say
37 Ὡς δ' εἴ τις ὅπερ ἤθελ' οὐκέτι θέλει,	37 Hōs d' eí tis hóper ěthel' ūcéti thélei,			37 Just as if someone who no longer wants what he wished,
	Ὡς	Hōs	ὡς	just as
	δ'	d'	δέ	
	εἴ	eí	εἰ	if
	τις	tis	τις	someone
	ὅπερ	hóper	ὅς	what
	ἤθελ'	ěthel'	θέλω	wished
	οὐκέτι	ūcéti	οὐκέτι	no longer
	θέλει	thélei	θέλω	wants
38 Καὶ διὰ νέους σκοποὺς ἀλλάσσων φρένα	38 Caè dià néūs scopū̀s allássōn phréna			38 and changing his mind through new aims,
	Καὶ	Caè	καί	and
	διὰ	dià	διά	through
	νέους	néūs	νέος	new
	σκοποὺς	scopū̀s	σκοπός	aims
	ἀλλάσσων	allássōn	ἀλλάσσω	changing
	φρένα	phréna	φρήν	mind
39 Τὴν πρᾶξιν, ἧς ἤρξατο, καταλιμπάνει,	39 Tḕn prâxin, hês ěrxato, catalimpánei,			39 he abandons the action he began.
	Τὴν	Tḕn	ὁ	the
	πρᾶξιν	prâxin	πρᾶξις	action
	ἧς	hês	ὅς	which
	ἤρξατο	ěrxato	ἄρχομαι	he began
	καταλιμπάνει	catalimpánei	καταλείπω	he abandons
40 Τοιοῦτος ἤμην ἐν τῇ ζοφώδει ῥάχει·	40 Toeûtos ěmēn en tệ zophǒdei rháchei;			40 I was such on the gloomy cliff;
	Τοιοῦτος	Toeûtos	τοιοῦτος	Such
	ἤμην	ěmēn	εἰμί	I was
	ἐν	en	ἐν	in
	τῇ	tệ	ὁ	the
	ζοφώδει	zophǒdei	ζοφώδης	gloomy
	ῥάχει	rháchei	ῥάχη	cliff
41 Σκεφθεὶς γὰρ ἀπετράπην οὗπερ ἠρξάμην	41 Scephtheìs gàr apetrápēn hûper ērxámēn			41 For, reflecting, I turned away from what I began
	Σκεφθεὶς	Scephtheìs	σκέπτομαι	reflecting
	γὰρ	gàr	γάρ	for
	ἀπετράπην	apetrápēn	ἀποτρέπω	I turned away
	οὗπερ	hûper	ὅστις	from what
	ἠρξάμην	ērxámēn	ἄρχομαι	I began
42 Ἐγχειρήματος τοσαύτῃ προθυμίᾳ.	42 Encheirěmatos tosaútẹ̄ prothymíạ̄.			42 of an undertaking with so much eagerness.
	Ἐγχειρήματος	Encheirěmatos	ἐγχείρημα	undertaking
	τοσαύτῃ	tosaútẹ̄	τοσοῦτος	with so much
	προθυμίᾳ	prothymíạ̄	προθυμία	eagerness
43 “Εἰ καλῶς ἔγνων τὰ παρὰ σοῦ ῥηθέντα,”	43 “Ei calôs égnōn tà parà sû rhēthénta,”			43 "If I understood rightly what was spoken by you,"
	Εἰ	Ei	εἰ	If
	καλῶς	calôs	καλῶς	rightly
	ἔγνων	égnōn	γιγνώσκω	I understood
	τὰ	tà	ὁ	the
	παρὰ	parà	παρά	by
	σοῦ	sû	σύ	you
	ῥηθέντα	rhēthénta	ῥέω	spoken
44 Ἀπήντησεν ἡ σκιὰ τοῦ μεγαθύμου,	44 Apěntēsen hē scià tû megathýmū,			44 the shadow of the great-hearted answered,
	Ἀπήντησεν	Apěntēsen	ἀπαντάω	answered
	ἡ	hē	ὁ	the
	σκιὰ	scià	σκιά	shadow
	τοῦ	tû	ὁ	of the
	μεγαθύμου	megathýmū	μεγαθύμος	great-hearted
45 “Τὴν σὴν ἀπηχρείωσε ψυχὴν ὁ φόβος,	45 “Tḕn sḕn apēchreíōse psychḕn ho phóbos,			45 "fear deprived your soul.
	Τὴν	Tḕn	τὴν	the
	σὴν	sḕn	σύ	your
	ἀπηχρείωσε	apēchreíōse	ἀπαχρεόω	deprived
	ψυχὴν	psychḕn	ψυχή	soul
	ὁ	ho	ὁ	the
	φόβος	phóbos	φόβος	fear
46 „ Ὃς τὸν ἄνθρωπον συχνῶς οὕτω πιέζει,	46 „ Hòs tòn ánthrōpon sychnôs hǔtō piézei,			46 Who often oppresses man in such a way,
	Ὃς	Hòs	ὅς	who
	τὸν	tòn	ὁ	the
	ἄνθρωπον	ánthrōpon	ἄνθρωπος	man
	συχνῶς	sychnôs	συχνός	often
	οὕτω	hǔtō	οὕτως	in such a way
	πιέζει	piézei	πιέζω	oppresses
47 „ Ὥστ' ἀποτρέπει παντὸς εὐγενοῦς ἔργου,	47 „ Hǒst' apotrépei pantòs eugenûs érgū,			47 so that he turns away from every noble deed,
	Ὥστ'	Hǒst'	ὅστις	so that
	ἀποτρέπει	apotrépei	ἀποτρέπω	turns away
	παντὸς	pantòs	πᾶς	from every
	εὐγενοῦς	eugenûs	εὐγενής	noble
	ἔργου	érgū	ἔργον	deed
48 „ Ὡς ἵππον θέα ψευδὴς ἀφηνιάζει.	48 „ Hōs híppon théa pseudḕs aphēniázei.			48 as a false sight wearies the horse.
	Ὡς	Hōs	ὡς	as
	ἵππον	híppon	ἵππος	horse
	θέα	théa	θέα	sight
	ψευδὴς	pseudḕs	ψευδής	false
	ἀφηνιάζει	aphēniázei	ἀφαιρέω	wearies
49 „ Πρὸς ἀπαλλαγὴν τοῦ τοσούτου σου φόβου	49 „ Pròs apallagḕn tû tosǔtū sū phóbū			49 For relief from your fear,
	Πρὸς	Pròs	πρός	for
	ἀπαλλαγὴν	apallagḕn	ἀπαλλαγή	relief
	τοῦ	tû	ὁ	from the
	τοσούτου	tosǔtū	τοσοῦτος	so much
	σου	sū	σύ	your
	φόβου	phóbū	φόβος	fear
50 „ Ἐρῶ σοι, πόθεν καὶ τί μαθὼν ὧδ' ἦλθον,	50 „ Erô soe, póthen caè tí mathṑn hôd' êlthon,			50 I’ll tell you, why I came and what I’ve learned in this way,
	Ἐρῶ	Erô	ἐράω	I will tell
	σοι	soe	σύ	you
	πόθεν	póthen	πόθεν	why
	καὶ	caè	καί	and
	τί	tí	τί	what
	μαθὼν	mathṑn	μανθάνω	have learned
	ὧδ'	hôd'	ὧδε	in this way
	ἦλθον	êlthon	ἔρχομαι	I came
51 „ Ὅτ' ἐπὶ τοῖς σοῖς πρῶτον ἠχθέσθην πόνοις.	51 „ Hót' epì tóès sóès prôton ēchthésthēn pónoes.			51 when I was first burdened by labors upon your [sufferings].
	Ὅτ'	Hót'	ὅτε	when
	ἐπὶ	epì	ἐπί	upon
	τοῖς	tóès	ὁ	the
	σοῖς	sóès	σός	your
	πρῶτον	prôton	πρῶτος	first
	ἠχθέσθην	ēchthésthēn	φέρω	I was burdened
	πόνοις	pónoes	πόνος	by labors
52 „ Ὄντα μεταξὺ τῶν ὧδε μετεώρων,	52 „ Ónta metaxỳ tôn hôde meteǒrōn,			52 Being among these celestial beings,
	Ὄντα	Ónta	εἰμί	being
	μεταξὺ	metaxỳ	μεταξύ	among
	τῶν	tôn	ὁ	the
	ὧδε	hôde	ὧδε	these
	μετεώρων	meteǒrōn	μετέωρος	celestial
53 „ Καλεῖ με γυνὴ καλὴ καὶ μακαρία,	53 „ Caléì me gynḕ calḕ caè macaría,			53 a beautiful and blessed woman calls me,
	Καλεῖ	Caléì	καλέω	calls
	με	me	ἐγώ	me
	γυνὴ	gynḕ	γυνή	woman
	καλὴ	calḕ	καλός	beautiful
	καὶ	caè	καί	and
	μακαρία	macaría	μακάριος	blessed
54 „ Ἧς τὰς προσταγὰς προθύμως ᾐτησάμην.	54 „ Hês tàs prostagàs prothýmōs ẹ̄tēsámēn.			54 of whom I eagerly asked for her commands.
	Ἧς	Hês	ὅς	of whom
	τὰς	tàs	ὁ	her
	προσταγὰς	prostagàs	προσταγή	commands
	προθύμως	prothýmōs	προθυμέω	eagerly
	ᾐτησάμην	ẹ̄tēsámēn	αἰτέω	I asked
55 „ Ὄμμασιν ἄστρων πλέον ἀκτινοβόλοις	55 „ Ómmasin ástrōn pléon actinobóloes			55 With eyes more radiating than the stars,
	Ὄμμασιν	Ómmasin	ὄμμα	with eyes
	ἄστρων	ástrōn	ἄστηρ	stars
	πλέον	pléon	πλέω	more
	ἀκτινοβόλοις	actinobóloes	ἀκτινοβόλος	radiating
56 „ Ἤρξατο λέγειν προσηνὴς καὶ γλυκεῖα,	56 „ Ěrxato légein prosēnḕs caè glycéìa,			56 she began to speak kindly and sweetly,
	Ἤρξατο	Ěrxato	ἄρχομαι	began
	λέγειν	légein	λέγω	to say
	προσηνὴς	prosēnḕs	προσηνής	kindly
	καὶ	caè	καί	and
	γλυκεῖα	glycéìa	γλυκύς	sweetly
57 „ Ἀγγελικῇ τῇ φωνῇ προσφθεγγομένη.”—	57 „ Angelicệ tệ phōnệ prosphthengoménē.”—			57 addressing me with an angelic voice.”—
	Ἀγγελικῇ	Angelicệ	ἄγγελος	angelic
	τῇ	tệ	ὁ	the
	φωνῇ	phōnệ	φωνή	voice
	προσφθεγγομένη	prosphthengoménē	προσφθέγγομαι	addressing with
58 —“Ὦ κεχαριτωμένη ψυχὴ Μαντύας,	58 —“Ô cecharitōménē psychḕ Mantýas,			58 —"O favored soul of Mantua,
	Ὦ	Ô	ὦ	O
	κεχαριτωμένη	cecharitōménē	χαριτόω	favored
	ψυχὴ	psychḕ	ψυχή	soul
	Μαντύας	Mantýas	Μαντύας	Mantua
59 „ Ἧς ἔτ' ἐν τῇ γῇ διατελεῖ τὸ κλέος,	59 „ Hês ét' en tệ gệ diateléì tò cléos,			59 of which glory still endures on the land,
	Ἧς	Hês	ὅς	of which
	ἔτ'	ét'	ἔτι	still
	ἐν	en	ἐν	in
	τῇ	tệ	ὁ	the
	γῇ	gệ	γῆ	land
	διατελεῖ	diateléì	διατελέω	endures
	τὸ	tò	ὁ	the
	κλέος	cléos	κλέος	glory
60 „ Διαμενεῖ τ' ἐφ' ὅσον τὸ πᾶν κινεῖται·	60 „ Diamenéì t' eph' hóson tò pân cinéìtae;			60 and will remain as long as everything is in motion.
	Διαμενεῖ	Diamenéì	διαμένω	will remain
	τ'	t'	τε	and
	ἐφ'	eph'	ἐπί	on
	ὅσον	hóson	ὅσος	as long as
	τὸ	tò	ὁ	the
	πᾶν	pân	πᾶς	everything
	κινεῖται	cinéìtae	κινέω	is moved
61 „ Φίλος τις ἐμός, ἀλλ' οὐ φίλος τῆς τύχης,	61 „ Phílos tis emós, all' ū phílos tês týchēs,			61 A certain friend of mine, but not a friend of fortune,
	Φίλος	Phílos	φίλος	a friend
	τις	tis	τις	a certain one
	ἐμός	emós	ἐμός	of mine
	ἀλλ'	all'	ἀλλά	but
	οὐ	ū	οὐ	not
	φίλος	phílos	φίλος	a friend
	τῆς	tês	ὁ	of the
	τύχης	týchēs	τύχη	fortune
62 „ Οὕτω κωλύετ' ἐν τοῖς ἐρήμοις τόποις	62 „ Hǔtō cōlýet' en tóès erěmoes tópoes			62 is hindered in such a way in deserted places
	Οὕτω	Hǔtō	οὕτως	in such a way
	κωλύετ'	cōlýet'	κωλύω	is hindered
	ἐν	en	ἐν	in
	τοῖς	tóès	ὁ	the
	ἐρήμοις	erěmoes	ἔρημος	deserted
	τόποις	tópoes	τόπος	places
63 „ Καθ' ὁδόν, ὥστ' ἐκ φόβου τρέπετ' ὀπίσω·	63 „ Cath' hodón, hǒst' ec phóbū trépet' opísō;			63 by the road so that he turns backward from fear.
	Καθ'	Cath'	κατά	by
	ὁδόν	hodón	ὁδός	the road
	ὥστ'	hǒst'	ὥστε	so that
	ἐκ	ec	ἐκ	from
	φόβου	phóbū	φόβος	fear
	τρέπετ'	trépet'	τρέπω	turns
	ὀπίσω	opísō	ὀπίσω	backward
64 „ Καὶ δέος μήπως ἤδη παρεπλανήθη,	64 „ Caè déos měpōs ědē pareplaněthē,			64 And fearing lest he was already led astray,
	Καὶ	Caè	καί	and
	δέος	déos	δέος	fear
	μήπως	měpōs	μήπως	lest
	ἤδη	ědē	ἤδη	already
	παρεπλανήθη	pareplaněthē	πλανάω	he was led astray
65 „ Κἀγὼ πρὸς ἐπαρωγὴν ἦλθον βραδέως,	65 „ Ca'gṑ pròs eparōgḕn êlthon bradéōs,			65 and I came slowly towards incitement,
	Κἀγὼ	Ca'gṑ	κἀγώ	and I
	πρὸς	pròs	πρός	towards
	ἐπαρωγὴν	eparōgḕn	ἐπαρωγή	incitement
